DisputeStage,DisputeStatus,DisputeId,DueDate,ReasonCategory,DisputeTime,ReasonCode,ChargebackTxnAmount,MerchantUserId,TransactionChannel,CardType,TransactionTime,ChargebackAmount,ChargebackTxnCurrency,ReasonMsg,RefundPayType,WinRate,ARN,CardScheme,CardNumberMasked,CardBIN,CardFundingType,IssuerName,IssuerCountry,NetworkReasonCode,ChargebackReceivedDate,ChargebackCaseRef,RepresentmentDeadline,IsSecondPresentment,ProcessorName,AcquirerName,AcquirerMID,PaymentTransactionId,PspReferenceId,AuthorizationCode,PaymentMethod,TransactionAmount,TransactionCurrency,TransactionStatus,SettlementDate,AvsResult,CvvResult,ThreeDSStatus,ThreeDSLiabilityShift,DeviceIp,DeviceType,RefundIssued,RefundAmount,RefundDate,OrderId,OrderDate,ProductName,ProductCategory,Sku,Quantity,UnitPrice,OrderTotalAmount,OrderCurrency,OrderStatus,DeliveryStatus,ShippingCarrier,TrackingNumber,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,ProofOfDelivery,DeliverySignedBy,DeliveryAddressLine1,DeliveryCity,DeliveryState,DeliveryPostalCode,DeliveryCountry,BillingShippingMatch,UserId,UserFullName,UserEmail,UserPhone,AccountCreatedDate,KycVerified,AccountStatus,TotalOrdersLifetime,TotalSpendLifetime,AvgOrderValue,LastOrderId,LastOrderDate,PreviousChargebackCount,PreviousChargebacksWon,DisputeRatePct,CustomerRiskTier,CaseOutcome,OutcomeDate
CB,NEED_RESPONSE,h5yiulkkas23481,2026-07-10 00:00:00,authorization,2026-06-10 09:41:37,4837,162.17,7665434528917652389,Ahjkoiywebkbmxiykjsdfskjdhfsj,VISA,2026-05-01T23:50:35Z,449.42,IDR,The user informs that he/she did not made the purchase,OriginalRefund,0.0024,35116155940781618495931,Visa,413278XXXXXX5506,413278,Credit,Citibank,ID,4837,2026-06-10,CBK-2026-200000,2026-07-10 00:00:00,No,Stripe,Wells Fargo Bank N.A.,MID185675980,TXN-20260501-41244663,ADY406575307735,575435,Card - Recurring,162.17,IDR,Captured,2026-05-03,A - Address Only,M - Match,N - Not Authenticated,No,182.136.36.156,Android App,Yes,162.17,2026-06-14,ORD-202605-100003,2026-05-01 23:05:35,Cotton Casual Shirt,Apparel,APP-9751-WHT,1,162.17,162.17,IDR,Completed,Delivered,Blue Dart,BD6241752544,2026-05-04,2026-05-08,2026-05-08,Yes - Signature,Sofia Okafor,Jl. Asia Afrika No. 8,Bandung,West Java,40111,ID,Yes,7665434528917652389,Sofia Okafor,sofia.okafor@mail.com,+62596348124,2026-01-26,No,Active,2,87.16,43.58,ORD-202605-771088,2026-05-01,0,0,0,Low,Decision Pending,
CB,NEED_RESPONSE,viosdyui6890wek2,2026-07-11 00:00:00,processing,2026-06-10 20:46:22,11.3,325.93,7665434528917652390,Ahjsgfskjaksldwuleurhjhjdhfsj,MASTERCARD,2026-06-04T22:32:58Z,48.23,USD,Fraud,<UNSET>,0.0014,96965328710122691669784,Mastercard,599733XXXXXX6313,599733,Prepaid,Bank Central Asia,ID,11.3,2026-06-10,CBK-2026-200001,2026-07-11 00:00:00,No,Worldpay,Worldpay Inc.,MID831980933,TXN-20260604-82070937,CKO807675742947,456699,Card - Ecom,325.93,USD,Captured,2026-06-06,Z - Zip Only,P - Not Processed,A - Attempted,No,11.134.91.130,iOS App,No,0,,ORD-202606-100010,2026-06-04 21:22:58,Smart Fitness Band,Electronics,ELC-5889-GRY,1,325.93,325.93,USD,Completed,Delivered,Blue Dart,BD2970753705,2026-06-06,2026-06-09,2026-06-09,Yes - OTP Confirmed,N/A,"Jl. Sudirman No. 45, Apt 12B",Jakarta Selatan,DKI Jakarta,12190,ID,Yes,7665434528917652390,Rahul Ibrahim,rahul.ibrahim@outlook.com,+62264109919,2025-12-21,Yes,Active,14,4109.14,293.51,ORD-202511-665579,2025-11-30,1,1,7.14,Medium,Decision Pending,
CB,NEED_RESPONSE,kmgjdshoiwer8792,2026-07-12 00:00:00,fraud,2026-06-10 20:46:25,C08,364,7665434528917652391,Ahjkoiywebkbmxiykjsdfskjdhfsj,KLARNA,2026-06-04T23:40:58Z,61.55,NGN,Product Not Received,RefundToCredit,0.0011,63834657871331509839301,Klarna (BNPL),N/A,N/A,N/A,Klarna Bank AB,NG,C08,2026-06-10,CBK-2026-200002,2026-07-12 00:00:00,No,Adyen,Adyen N.V.,MID345824373,TXN-20260604-19046318,ADY464469358785,174299,BNPL,364,NGN,Captured,2026-06-06,N - No Match,M - Match,N - Not Authenticated,No,149.67.242.63,Mobile Web,Yes,364,2026-06-12,ORD-202606-100019,2026-06-04 23:05:58,Adjustable Dumbbell Set,Sports,SPT-7669-WHT,1,364,364,NGN,Shipped,In Transit,GIG Logistics,DH1540137296,2026-06-07,2026-06-13,,No,N/A,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,Yes,7665434528917652391,Arjun Adeyemi,arjun.adeyemi@outlook.com,+234807577342,2024-08-14,No,Active,16,522.72,32.67,ORD-202601-544154,2026-01-05,3,0,18.75,High,Won,2026-06-21
CB,NEED_RESPONSE,Agysjdkfshjdwewuier234984,2026-07-13 00:00:00,others,2026-06-10 20:46:28,4853,29.85,7665434528917652392,Ahjsgfskjaksldwuleurhjhjdhfsj,AMEX,2026-06-04T22:35:19Z,37.01,IDR,Product Unsatisfactory,"OriginalRefund, RefundToCredit",0.001,32677360260647468723430,American Express,371887XXXXX2612,371887,Prepaid,Barclays,SG,4853,2026-06-10,CBK-2026-200003,2026-07-13 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID903132646,TXN-20260604-52091325,ADY740165486786,599948,Card - Ecom,29.85,IDR,Captured,2026-06-07,Y - Full Match,M - Match,A - Attempted,No,28.34.120.104,iOS App,Yes,29.85,2026-06-15,ORD-202606-100022,2026-06-04 22:32:19,Smart Fitness Band,Electronics,ELC-5033-GRY,2,14.93,29.85,IDR,Completed,Delivered,Aramex,BD4965395580,2026-06-06,2026-06-12,2026-06-12,Yes - Signature,Rahul Adeyemi,"34 Orchard Road, #08-12",Singapore,Central,238867,SG,Yes,7665434528917652392,Rahul Adeyemi,rahul.adeyemi@yahoo.com,+65765055833,2025-04-08,Yes,Suspended,13,2321.41,178.57,ORD-202511-789305,2025-11-29,0,0,0,Low,Won,2026-06-17
CB,NEED_RESPONSE,65jkhhdsfhsweriu2,2026-07-14 00:00:00,merchandise,2026-06-11 09:41:37,6000,36.2,7665434528917652393,Ahjkoiywebkbmxiykjsdfskjdhfsj,DISCOVER,2026-03-22T01:55:13Z,55.67,USD,Transaction Amount Differs,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.0018,27849808412411824493534,Discover,601143XXXXXX4346,601143,Prepaid,HSBC,US,6000,2026-06-11,CBK-2026-200004,2026-07-14 00:00:00,No,Cybersource,Chase Paymentech,MID154544899,TXN-20260322-22388090,WLP404209733660,146228,Card - Ecom,36.2,USD,Captured,2026-03-23,A - Address Only,M - Match,Y - Authenticated,Yes,200.226.218.144,iOS App,Yes,36.2,2026-06-12,ORD-202603-100031,2026-03-22 01:22:13,Air Fryer 5L,Home & Kitchen,HNK-2832-BLK,1,36.2,36.2,USD,Completed,Delivered,GIG Logistics,DH9904586976,2026-03-23,2026-03-29,2026-03-28,Yes - Signature,Tunde Santoso,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652393,Tunde Santoso,tunde.santoso@outlook.com,+1685823118,2023-07-30,Yes,Active,21,6265.35,298.35,ORD-202603-710805,2026-03-30,3,0,14.29,High,Won,2026-07-12
PRE_ARB,NEED_RESPONSE,63jhkdsawuieyj6,2026-07-15 00:00:00,authorization,2026-06-11 20:46:22,AP,46.43,7665434528917652394,Ahjsgfskjaksldwuleurhjhjdhfsj,VISA,2026-06-30T21:10:04Z,255.99,NGN,PURCHASE_UNAUTHORIZED,"RefundToCredit, OriginalRefund",0.0003,34216073375433036541458,Visa,466333XXXXXX3088,466333,Debit,Barclays,US,AP,2026-06-11,CBK-2026-200005,2026-07-15 00:00:00,No,Checkout.com,Checkout Ltd,MID129635852,TXN-20260630-25480907,CKO736422102747,378361,Card - Ecom,46.43,NGN,Captured,2026-07-03,N - No Match,N - No Match,A - Attempted,No,197.160.223.156,iOS App,Yes,46.43,2026-06-14,ORD-202606-100041,2026-06-30 20:16:04,Smart Fitness Band,Electronics,ELC-7311-GRY,1,46.43,46.43,NGN,Completed,Delivered,UPS,FX4713453204,2026-07-01,2026-07-06,2026-07-06,Yes - Signature,Priya Garcia,"55 Water Street, Floor 9",New York,NY,10041,US,Yes,7665434528917652394,Priya Garcia,priya.garcia@yahoo.com,+1373506211,2022-08-04,Yes,Suspended,16,3494.56,218.41,ORD-202512-101773,2025-12-04,0,0,0,Low,Lost,2026-07-13
PRE_ARB,NEED_RESPONSE,h5yiulkkas23482,2026-07-16 00:00:00,processing,2026-06-12 20:46:25,12.5,102.82,7665434528917652395,Ahjkoiywebkbmxiykjsdfskjdhfsj,MASTERCARD,2026-06-01T01:58:37Z,55.23,IDR,Credit Not Processed,OriginalRefund,0.005,44369957773872148951343,Mastercard,557739XXXXXX8066,557739,Credit,Chase Bank,US,12.5,2026-06-12,CBK-2026-200006,2026-07-16 00:00:00,No,Worldpay,Worldpay Inc.,MID149621604,TXN-20260601-42862209,WLP180610047913,577538,Card - Wallet Token,102.82,IDR,Captured,2026-06-04,N - No Match,P - Not Processed,A - Attempted,No,113.124.75.168,iOS App,Yes,102.82,2026-06-15,ORD-202606-100047,2026-06-01 01:05:37,4K Action Camera,Electronics,ELC-2746-RED,3,34.27,102.82,IDR,Completed,Delivered,Aramex,FX6118914230,2026-06-04,2026-06-09,2026-06-09,Yes - OTP Confirmed,N/A,"55 Water Street, Floor 9",New York,NY,10041,US,Yes,7665434528917652395,Meera Brown,meera.brown@gmail.com,+1288856883,2024-08-25,No,Active,33,3607.89,109.33,ORD-202606-684482,2026-06-11,0,0,0,Low,Not Fought,2026-06-17
RFI,NEED_RESPONSE,viosdyui6890wek3,2026-07-17 00:00:00,fraud,2026-06-13 20:46:28,13.3,70,7665434528917652396,Ahjsgfskjaksldwuleurhjhjdhfsj,KLARNA,2026-06-26T00:20:32Z,70.35,USD,Cancelled Recurring,<UNSET>,0.0006,71434558122362316658760,Klarna (BNPL),N/A,N/A,N/A,Klarna Bank AB,ID,13.3,2026-06-13,CBK-2026-200007,2026-07-17 00:00:00,No,Worldpay,Worldpay Inc.,MID994310083,TXN-20260626-66390708,WLP949994808961,712451,BNPL,70,USD,Captured,2026-06-29,N - No Match,P - Not Processed,A - Attempted,No,12.180.152.193,Mobile Web,No,0,,ORD-202606-100051,2026-06-25 22:58:32,Ergonomic Office Chair,Furniture,FUR-7865-GRY,2,35,70,USD,Completed,Delivered,UPS,BD7228002201,2026-06-27,2026-07-04,2026-07-03,Yes - OTP Confirmed,N/A,Jl. Asia Afrika No. 8,Bandung,West Java,40111,ID,Yes,7665434528917652396,Wayan Brown,wayan.brown@mail.com,+62624232414,2022-12-20,Yes,Active,53,12422.14,234.38,ORD-202604-557007,2026-04-03,1,1,1.89,Medium,Lost,2026-07-22
CB,NEED_RESPONSE,kmgjdshoiwer8793,2026-07-18 00:00:00,others,2026-06-10 09:41:37,13.5,77.25,7665434528917652397,Ahjkoiywebkbmxiykjsdfskjdhfsj,AMEX,2026-06-29T19:01:48Z,29.24,NGN,Other Fraud-Card Absent Environment,RefundToCredit,0.0004,64170805310033092327193,American Express,347371XXXXX6507,347371,Debit,Capital One,ID,13.5,2026-06-10,CBK-2026-200008,2026-07-18 00:00:00,No,Nuvei,Nuvei Corporation,MID280162221,TXN-20260629-91321540,BRT924477962743,853252,Card - Ecom,77.25,NGN,Captured,2026-07-01,Y - Full Match,M - Match,Y - Authenticated,Yes,90.192.203.242,Android App,Yes,77.25,2026-06-13,ORD-202606-100060,2026-06-29 18:16:48,Vitamin C Serum,Beauty,BTY-2245-GRY,3,25.75,77.25,NGN,Completed,Delivered,UPS,BD1780520225,2026-07-01,2026-07-06,2026-07-05,Yes - Signature,Wayan Santoso,Jl. Asia Afrika No. 8,Bandung,West Java,40111,ID,Yes,7665434528917652397,Wayan Santoso,wayan.santoso@gmail.com,+62209415691,2024-03-15,Yes,Under Review,38,7111.32,187.14,ORD-202603-944657,2026-03-30,0,0,0,Low,Not Fought,2026-07-03
CB,NEED_RESPONSE,Agysjdkfshjdwewuier234985,2026-07-19 00:00:00,merchandise,2026-06-10 20:46:22,C050,19.99,7665434528917652398,Ahjsgfskjaksldwuleurhjhjdhfsj,DISCOVER,2026-06-24T08:19:11Z,69.83,IDR,Cancelled Merchandise/Services,"OriginalRefund, RefundToCredit",0.0025,94531473799650752735454,Discover,601182XXXXXX1672,601182,Prepaid,Capital One,US,C050,2026-06-10,CBK-2026-200009,2026-07-19 00:00:00,No,Stripe,Wells Fargo Bank N.A.,MID654724287,TXN-20260624-35643159,ADY891310598800,526170,Card - Wallet Token,19.99,IDR,Captured,2026-06-27,N - No Match,P - Not Processed,A - Attempted,No,125.8.47.76,Android App,Yes,19.99,2026-06-14,ORD-202606-100067,2026-06-24 07:18:11,Robot Vacuum Cleaner,Home & Kitchen,HNK-7625-WHT,2,9.99,19.99,IDR,Completed,Delivered,J&T Express,BD4037867512,2026-06-26,2026-06-29,2026-06-28,Yes - OTP Confirmed,N/A,2200 Post Oak Blvd,Houston,TX,77056,US,Yes,7665434528917652398,Ananya Okafor,ananya.okafor@outlook.com,+1812921644,2026-04-30,Yes,Suspended,55,7871.6,143.12,ORD-202512-680358,2025-12-04,1,1,1.82,Medium,Won,2026-07-20
