dispute_ref,payment_ref,reason_code,card_scheme,card_last_four,disputed_amount,transaction_date,dispute_date,arn,processor
DSP-20260710-001,PAY-20260628-441,10.4,Visa,4412,523.90,2026-06-28 14:22:00,2026-07-08 09:15:00,74926830271002506028001,Adyen
DSP-20260710-002,PAY-20260625-887,13.1,Mastercard,8871,1245.00,2026-06-25 10:05:00,2026-07-07 11:30:00,74926830271002506025002,Braintree
DSP-20260710-003,PAY-20260701-335,13.3,Visa,3359,89.99,2026-07-01 16:40:00,2026-07-09 08:45:00,74926830271002507001003,Worldpay
DSP-20260710-004,PAY-20260630-662,12.6.1,Visa,6620,156.30,2026-06-30 09:12:00,2026-07-08 14:00:00,74926830271002506030004,Stripe
DSP-20260710-005,PAY-20260627-119,11.3,Mastercard,1199,2150.00,2026-06-27 22:55:00,2026-07-09 10:20:00,74926830271002506027005,Adyen
DSP-20260710-006,PAY-20260702-553,13.2,Visa,5534,19.99,2026-07-02 02:00:00,2026-07-08 16:30:00,74926830271002507002006,Braintree
DSP-20260710-007,PAY-20260629-778,13.6,Visa,7781,445.50,2026-06-29 11:30:00,2026-07-09 09:00:00,74926830271002506029007,Worldpay
DSP-20260710-008,PAY-20260703-224,10.4,Mastercard,2241,34.50,2026-07-03 04:15:00,2026-07-10 07:45:00,74926830271002507003008,Stripe
DSP-20260710-009,PAY-20260626-990,13.7,Visa,9901,678.25,2026-06-26 15:20:00,2026-07-07 13:10:00,74926830271002506026009,Adyen
DSP-20260710-010,PAY-20260704-447,12.5,Visa,4470,92.80,2026-07-04 08:30:00,2026-07-10 11:00:00,74926830271002507004010,Braintree
