order_id,customer_id,order_date,product_name,product_category,product_id,quantity,unit_price,order_amount,payment_method,card_last_four,payment_status,fulfillment_status,shipping_carrier,tracking_number,delivery_date,delivery_signed,customer_email,customer_city,customer_state,return_policy_days,avs_cvv_match,customer_ip
TTS-ORD-20260706-3C9XQ,CUST-0665,2026-07-06,Sunset Lamp Projector,Home,PROD-C20,3,19.99,59.97,Visa,9476,Completed,Shipped,Veho,VH664461415,,,m***k@outlook.com,Louisville,KY,14,Pass,52.225.213.200
TTS-ORD-20260708-FLZM7,CUST-0139,2026-07-08,Cat Tree Tower 54-inch,Toys,PROD-C26,5,59.99,299.95,Visa,5653,Refunded,Processing,,,,,k***n@gmail.com,Indianapolis,IN,30,Pass,84.51.163.245
TTS-ORD-20260609-B5C81,CUST-0060,2026-06-09,Cat Tree Tower 54-inch,Toys,PROD-C26,2,59.99,119.98,Visa,5336,Completed,Delivered,DHL,JD32137095813,2026-06-16,No,s***a@yahoo.com,Dallas,TX,30,Pass,216.147.107.159
TTS-ORD-20260705-HVLZ0,CUST-0217,2026-07-05,Smart Watch Ultra Pro,Electronics,PROD-A2,5,245.0,1225.0,Visa,6658,Completed,Delivered,Veho,VH178354184,2026-07-08,Yes,s***a@icloud.com,Tampa,FL,30,Pass,53.195.95.132
TTS-ORD-20260621-37ZGF,CUST-0521,2026-06-21,Cat Tree Tower 54-inch,Toys,PROD-C26,1,59.99,59.99,Visa,9433,Completed,Delivered,Veho,VH760756497,2026-06-27,Yes,w***m@icloud.com,New York,NY,30,Pass,147.226.79.128
TTS-ORD-20260626-501NO,CUST-0465,2026-06-26,Smart Watch Ultra Pro,Electronics,PROD-A2,4,245.0,980.0,Mastercard,4189,Completed,Delivered,DHL,JD50675860800,2026-07-03,Yes,d***d@outlook.com,Miami,FL,30,Pass,161.74.19.99
TTS-ORD-20260706-HSSBE,CUST-0606,2026-07-06,Running Shoes Lightweight Mesh,Sports,PROD-C23,6,44.99,269.94,Mastercard,6456,Completed,Delivered,USPS,9400111899933510,2026-07-11,Yes,e***h@icloud.com,Charlotte,NC,30,Pass,152.117.39.156
TTS-ORD-20260621-LDOL6,CUST-0206,2026-06-21,Running Shoes Lightweight Mesh,Sports,PROD-C23,1,44.99,44.99,Mastercard,1436,Completed,Delivered,DHL,JD76710891606,2026-06-28,Yes,n***y@hotmail.com,Chicago,IL,30,Pass,141.68.248.168
TTS-ORD-20260615-GPPOH,CUST-0072,2026-06-15,Gel Nail Polish Kit UV Lamp,Beauty,PROD-C28,1,32.99,32.99,Visa,9221,Completed,Delivered,Veho,VH258672959,2026-06-19,Yes,l***a@hotmail.com,San Antonio,TX,14,Fail,140.224.218.189
TTS-ORD-20260609-VGIUI,CUST-0333,2026-06-09,65-inch 4K Smart TV,Electronics,PROD-A4,1,899.99,899.99,Mastercard,5876,Completed,Delivered,FedEx,475951918053,2026-06-16,Yes,t***s@outlook.com,Jacksonville,FL,15,Pass,200.54.177.181
TTS-ORD-20260701-B8C7X,CUST-0575,2026-07-01,Heated Blanket USB Throw,Home,PROD-C22,3,39.99,119.97,Mastercard,8849,Completed,Delivered,DHL,JD65749365017,2026-07-06,No,c***r@yahoo.com,Denver,CO,30,Pass,71.212.138.70
TTS-ORD-20260618-D1AT7,CUST-0600,2026-06-18,Cat Tree Tower 54-inch,Toys,PROD-C26,2,59.99,119.98,Mastercard,7666,Completed,Delivered,DHL,JD96868598265,2026-06-22,Yes,a***w@icloud.com,Jacksonville,FL,30,Pass,142.167.52.194
TTS-ORD-20260619-2G05K,CUST-0371,2026-06-19,Cloud Slides Pillow Slippers,Fashion,PROD-C09,3,19.99,59.97,Visa,1613,Completed,Delivered,UPS,1Z999AA16046864799,2026-06-23,No,b***y@gmail.com,Denver,CO,30,Pass,96.146.155.28
TTS-ORD-20260630-ZAMKY,CUST-0630,2026-06-30,Aromatherapy Essential Oil Diffuser,Home,PROD-C12,1,27.99,27.99,Mastercard,4164,Completed,Delivered,USPS,9400111899302177,2026-07-03,Yes,t***s@yahoo.com,Seattle,WA,30,Pass,176.220.164.230
TTS-ORD-20260628-8K0AX,CUST-0522,2026-06-28,Hair Straightener Brush 2-in-1,Beauty,PROD-C16,1,34.99,34.99,Mastercard,4871,Completed,Delivered,USPS,9400111899360096,2026-07-01,Yes,s***h@gmail.com,Richmond,VA,30,Pass,190.31.120.79
TTS-ORD-20260703-NZ612,CUST-0059,2026-07-03,Vitamin C Brightening Serum,Beauty,PROD-C01,1,18.99,18.99,Visa,4578,Refunded,Delivered,DHL,JD41013311338,2026-07-07,Yes,r***l@yahoo.com,Portland,OR,30,Pass,194.194.153.224
TTS-ORD-20260629-PYZR6,CUST-0547,2026-06-29,Electric Standing Desk Frame,Home,PROD-A6,1,289.0,289.0,Visa,8298,Completed,Delivered,DHL,JD88177668081,2026-07-06,Yes,d***y@gmail.com,Las Vegas,NV,30,Pass,136.34.132.107
TTS-ORD-20260604-TC69Q,CUST-0685,2026-06-04,Sunset Lamp Projector,Home,PROD-C20,2,19.99,39.98,Visa,5703,Completed,Delivered,UPS,1Z999AA14203205881,2026-06-11,Yes,r***t@icloud.com,San Antonio,TX,14,Pass,66.197.35.197
TTS-ORD-20260625-XMGTT,CUST-0076,2026-06-25,Wireless Earbuds with Charging Case,Electronics,PROD-C17,3,27.99,83.97,Visa,4648,Completed,Cancelled,,,,,d***d@gmail.com,Atlanta,GA,30,Pass,213.6.251.77
TTS-ORD-20260705-15AHD,CUST-0096,2026-07-05,Sunset Lamp Projector,Home,PROD-C20,1,19.99,19.99,Visa,1550,Completed,Delivered,FedEx,940632576858,2026-07-08,Yes,o***a@icloud.com,San Jose,CA,14,Pass,173.173.181.224
TTS-ORD-20260603-U13I5,CUST-0338,2026-06-03,65-inch 4K Smart TV,Electronics,PROD-A4,1,899.99,899.99,Visa,9540,Refunded,Delivered,DHL,JD52921684555,2026-06-07,No,d***l@yahoo.com,San Diego,CA,15,Pass,125.77.71.16
TTS-ORD-20260612-LOFN1,CUST-0153,2026-06-12,Cat Tree Tower 54-inch,Toys,PROD-C26,1,59.99,59.99,Visa,8758,Pending,Cancelled,,,,,d***y@yahoo.com,San Antonio,TX,30,Pass,77.77.220.182
